label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,pos-mix-01
,338,338,1,59.043156,10.251,0.638173,,59.043156@10.251316,59.043156@10.251316,,0.000,0.000000,59.043156,84058.45
,339,339,1,59.042984,10.752,0.585053,,59.042984@10.751583,59.042984@10.751583,,0.000,0.000000,59.042984,49473.34
,340,340,1,59.043167,9.761,0.528065,,59.043167@9.760817,59.043167@9.760817,,0.000,0.000000,59.043167,68775.80
,341,341,1,100.114189,8.385,0.853017,,100.114189@8.384916,100.114189@8.384916,,0.000,0.000000,100.114189,304980.62
,342,342,1,60.041943,17.281,0.654238,,60.041943@17.280666,60.041943@17.280666,,0.000,0.000000,60.041943,287998.41
,343,343,1,74.098938,13.737,0.845506,,74.098938@13.737317,74.098938@13.737317,,0.000,0.000000,74.098938,87730.71
,344,344,1,74.098984,13.034,0.596194,,74.098984@13.033751,74.098984@13.033751,,0.000,0.000000,74.098984,53864.61
,345,345,1,112.094948,9.116,0.763222,,112.094948@9.115750,112.094948@9.115750,,0.000,0.000000,112.094948,38412.09
,346,346,1,59.072605,11.392,0.620690,,59.072605@11.391900,59.072605@11.391900,,0.000,0.000000,59.072605,60705.01
,347,347,1,59.073002,10.809,0.629420,,59.073002@10.809367,59.073002@10.809367,,0.000,0.000000,59.073002,34457.12
,348,348,1,104.120171,14.679,0.620596,,104.120171@14.679183,104.120171@14.679183,,0.000,0.000000,104.120171,108711.28
,349,349,1,59.055691,7.828,0.559055,,59.055691@7.827900,59.055691@7.827900,,0.000,0.000000,59.055691,87560.24
,350,350,1,115.050064,12.883,0.850513,,115.050064@12.883017,115.050064@12.883017,,0.000,0.000000,115.050064,88222.00
,351,351,1,94.925316,15.915,0.853198,,94.925316@15.914516,94.925316@15.914516,,0.000,0.000000,94.925316,299822.53
,352,352,1,102.118103,8.733,0.838711,,102.118103@8.732767,102.118103@8.732767,,0.000,0.000000,102.118103,80202.12
,353,353,1,77.072601,12.459,0.851283,,77.072601@12.459451,77.072601@12.459451,,0.000,0.000000,77.072601,88009.29
,354,354,1,59.076828,13.515,0.697222,,59.076828@13.515183,59.076828@13.515183,,0.000,0.000000,59.076828,34058.46
,355,355,1,108.055428,3.979,0.837944,,108.055428@3.978567,108.055428@3.978567,,0.000,0.000000,108.055428,85190.30
,356,356,1,100.107605,9.581,0.849453,,100.107605@9.581467,100.107605@9.581467,,0.000,0.000000,100.107605,208135.02
,357,357,1,86.050987,13.197,0.850489,,86.050987@13.197300,86.050987@13.197300,,0.000,0.000000,86.050987,93316.38
,358,358,1,104.069130,14.571,0.757078,,104.069130@14.570766,104.069130@14.570766,,0.000,0.000000,104.069130,46565.12
,359,359,1,101.070793,5.977,0.575022,,101.070793@5.976750,101.070793@5.976750,,0.000,0.000000,101.070793,46411.59
,360,360,1,100.039169,4.046,0.798817,,100.039169@4.046367,100.039169@4.046367,,0.000,0.000000,100.039169,67829.30
,361,361,1,100.039146,3.830,0.666759,,100.039146@3.830100,100.039146@3.830100,,0.000,0.000000,100.039146,23558.67
,362,362,1,59.072884,13.578,0.520148,,59.072884@13.577900,59.072884@13.577900,,0.000,0.000000,59.072884,59351.55
,363,363,1,59.042122,8.975,0.841020,,59.042122@8.975183,59.042122@8.975183,,0.000,0.000000,59.042122,68884.20
